Attraction Name,Province,City,District,Region,Address,Longitude,Latitude,Category,Core Category,Theme Tags,Scenic Level,Nearby Transport,Opening Hours,Ticket Price,Fee Type,Ticket Purchase,Suggested Duration,Best Visit Months,Suitable For,Introduction,Selling Points,Photo URL,
Yunnan Ethnic Village,Yunnan Province,Kunming City,Xishan District,Southwest,"No. 1310 Dianchi Road, Xishan District, Kunming City, Yunnan Province",102.534311,24.781664,4A-level scenic area|Cultural theme park,Natural Scenery|Historical Culture|Garden Parks,,4A,"Subway: Line 2, Kunming Liberation Station | Bus: 570, 519, 778 | Taxi/Ride-hailing: Search the scenic area name to arrive | Self-drive: Navigate to 'Kunming XX Scenic Area', the scenic area provides parking","Day session: 09:00-18:00, Night session: 17:30-22:20","Day session: 80/person, Night session: 49/person, Preferential ticket: 45/person",Paid,Search and buy tickets on Dianping APP | Search for group deals on Douyin APP by scenic area name | Reserve via the scenic area's official WeChat public account,3-5 hours,Suitable all year round,All ages,"Located by Dianchi Lake, the Yunnan Ethnic Village covers over 1270 mu and recreates the villages of Yunnan's 25 ethnic minorities, serving as a window to reflect and showcase Yunnan's ethnic cultural charm. Visitors can experience ethnic festivals such as the Dai Water-Splashing Festival and the Yi Torch Festival.","One-stop experience of Yunnan's 25 ethnic minority cultures, ethnic song and dance performances, and specialty ethnic cuisine",https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/云南民族村.webp,
Dianchi Scenic Area,Yunnan Province,Kunming City,Xishan District,Southwest,"No. 1318 Dianchi Road, Xishan District, Kunming City, Yunnan Province",102.637666,24.705756,National-level tourist resort,Natural scenery|Religious sites|Gardens and parks,,Other,"Subway: Line 2, Kunming Liberation Station | Bus: 570, 519, 778 | Taxi/Ride-hailing: Search the scenic area name to arrive | Self-drive: Navigate to 'Kunming XX Scenic Area', the scenic area provides parking",Open All Day,Free,Free,Search and buy tickets on Dianping APP | Search and reserve tickets on Meituan APP by scenic area name,2-4 hours,Suitable all year round,All ages,"Dianchi is the largest freshwater lake in Yunnan Province, known as the 'Pearl of the Plateau'. In winter, visitors can observe black-headed gulls, and the lakeside scenic road and dam are the best spots for gull-watching. Nearby attractions include Haigeng Park and Xishan Forest Park.","Highland lake scenery, winter gull watching, lakeside cycling, Xishan Longmen",https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/滇池风景区.webp,
Dashanbao Scenic Area,Yunnan Province,Zhaotong City,Zhaoyang District,Southwest,"North side of Damaidi, Dashanbao Township, Zhaoyang District, Zhaotong City, Yunnan Province",104.084802,27.643153,4A-level scenic area|National-level nature reserve,Natural scenery | Religious site,Photography,4A,Bus: Bus Route 18 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name | Scenic area shuttle/sightseeing vehicle,07:00-19:00,78/person,Paid,Baidu Map APP scenic area ticket purchase | Ctrip APP search scenic area name to buy tickets | Gaode Map APP scenic area ticket booking,4-8 hours,Suitable all year round,All ages,"Dashanbao is the Black-necked Crane National Nature Reserve, with an altitude of approximately 3100 meters. The scenic area is divided into four attractions: Jigong Mountain, Xianrentian, Tiaodun Lake, and Dahai Zi, making it an ideal place to view sea of clouds, watch sunsets, and observe black-necked cranes.","Black-necked crane wintering ground, plateau wetland, Jigong Mountain sea of clouds, winter bird watching",https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/大山包景区.webp,
Huanglian River Scenic Area,Yunnan Province,Zhaotong City,Daguan County,Southwest,"Huanglian River, Daguan County, Zhaotong City, Yunnan Province",103.668729,27.742714,3A-level scenic area|Waterfall cluster,Natural scenery,,3A,Bus: Bus Route 18 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name | Scenic area shuttle/sightseeing vehicle,08:00-18:00,50/person,Paid,Baidu Map APP scenic area ticket purchase | Meituan APP search scenic area name to reserve,3-4 hours,Suitable all year round,All ages,"Huanglian River Scenic Area is renowned for its waterfall cluster, featuring 47 waterfalls of various sizes, with the tallest drop reaching 147 meters. The area boasts dense vegetation and intersecting streams, earning it the reputation as the ""Hometown of Waterfalls"".","Waterfall cluster, primeval forest, canyon scenery, summer retreat",https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/黄连河风景区.webp,
China Pu'er Tea Expo Garden,Yunnan Province,Pu'er City,Simao District,Southwest,"Yingpan Mountain, Simao District, Pu'er City, Yunnan Province",101.302374,22.77674,4A-level scenic area|Tea culture theme,Natural scenery|Historical culture|Museum,,4A,Bus: Bus Route 45 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name,08:30-17:30,"30/person, package ticket 80/person (includes electric vehicle)",Paid,Reservation via scenic area official WeChat public account | Ticket purchase via Dianping APP search,3-4 hours,Suitable all year round,All ages,"The China Pu'er Tea Expo Garden is located on Yingpan Mountain, 29 kilometers from the city center, set against a backdrop of a 10,000-mu ecological tea plantation. The scenic area features nine major attractions including a museum, tea tasting house, tea-picking zone, tea workshop, and Tea Ancestor Hall, offering experiences in tea picking, tea processing, and tea tasting.","10,000-mu tea plantation, Pu'er tea culture, tea-picking experience, tea-making process",https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/中华普洱茶博览苑.webp,
Taiyanghe Forest Park,Yunnan Province,Pu'er City,Simao District,Southwest,"Taiyanghe, Simao District, Pu'er City, Yunnan Province",100.570844,23.31724,4A-level scenic area|National Forest Park,Natural scenery|Religious sites|Gardens and parks,Family-friendly,4A,Bus: Route 47 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name,08:00-18:00,100/person (includes electric shuttle bus),Paid,Reserve via official scenic area WeChat public account | Search scenic area name on Fliggy APP to purchase tickets,4-5 hours,Suitable all year round,All ages,"Taiyanghe Forest Park is the largest oasis on the Tropic of Cancer, with a forest coverage rate of 97%. The scenic area features attractions such as Rhinoceros Flat and Red Panda Manor, allowing close-up wildlife viewing, making it an ideal destination for family trips.","Tropic of Cancer oasis, wildlife, Rhinoceros Flat, Red Panda, forest hiking",https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/太阳河森林公园.webp,
Pearl River Source Scenic Area,Yunnan Province,Qujing City,Quyi District,Southwest,"Maixiong Mountain, Yandang Township, Qiyi District, Qujing City, Yunnan Province",103.730597,25.642786,4A-level scenic area|National Forest Park,Natural scenery|Religious sites|Gardens and parks,,4A,Bus: Route 38 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name | Scenic area shuttle/sightseeing vehicle,08:30-18:00,40/person,Paid,Ctrip APP search scenic area name to buy tickets | Scenic area official website online reservation,3-4 hours,Suitable all year round,All ages,"The Pearl River Source is the origin of the Pearl River, located at the foot of Maixiong Mountain. The scenic area boasts dense forests and clear streams, featuring the wonder of 'one drop of water feeds three rivers, one vein separates two basins,' and is a sacred site for Pearl River basin people to trace their roots and honor ancestors.","Pearl River Source, Maixiong Mountain forest, Three Rivers Wonder, ancestral worship culture",https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/珠江源风景区.webp,
Qilin Water Town,Yunnan Province,Qujing City,Qilin District,Southwest,"No. 9 Main Dock, Qilin Water Town, Jingning East Road, Qilin District, Qujing City, Yunnan Province",103.942015,25.972812,4A-level scenic area|Wetland Park,Natural Scenery|Historical Culture|Religious Sites,,4A,Bus: Bus Route 42 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name,Open All Day,Free,Free,Search scenic area name on Fliggy APP to purchase tickets | Search scenic area name on Douyin APP for group buying,2-3 hours,Suitable all year round,All ages,"Qilin Water Town features thousands of acres of lotus ponds, water forest mazes, and Cuan culture-themed landscapes as its core characteristics, integrating ecological sightseeing, cultural experiences, and leisure entertainment. The scenery is most beautiful when lotus flowers bloom in summer.","Thousands of acres of lotus ponds, water forest, Cuan culture, ecological wetlands",https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/麒麟水乡.webp,
Luoping Rapeseed Flower Scenic Area,Yunnan Province,Qujing City,Luoping County,Southwest,"Luoping County, Qujing City, Yunnan Province",103.581062,25.621729,Natural Landscape|Seasonal Attraction,Natural scenery | Religious site,Photography|Flower Viewing,Other,Bus: Route 29 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name | Scenic area shuttle/sightseeing vehicle,Open All Day,Free (some viewing platforms charge fees),Paid,Purchase tickets via Ctrip APP by searching scenic area name | Buy tickets via Baidu Maps APP scenic area ticket purchase | Buy tickets online via Tongcheng Travel APP,1-2 days,Suitable all year round,All ages,"Luoping is China's largest rapeseed flower production base. Every February-March, 800,000 mu of rapeseed flowers bloom simultaneously, forming a golden sea of flowers. Jinji Peak Cluster and Niujie Spiral Fields are the best viewing spots.","World's largest rapeseed flower field, Jinji Peak Cluster, Spiral Fields, Spring flower viewing",https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/罗平油菜花景区.webp,
Lufeng World Dinosaur Valley,Yunnan Province,Chuxiong Yi Autonomous Prefecture,Lufeng City,Southwest,"Lufeng City, Chuxiong Prefecture, Yunnan Province, Chuangjie World Dinosaur Valley Scenic Area",102.005266,24.673773,4A-level Scenic Area|National Geopark,Historical Culture|Garden Park|Theme Park,Family|Educational Travel,4A,Bus: Bus Route 14 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name,"Monday to Friday: 08:00-17:30, Saturday to Sunday: 08:00-18:00","160/person, concession ticket 110/person",Paid,Reserve via Meituan APP by searching scenic area name | Online booking via scenic area official website,4-5 hours,Suitable all year round,All ages,"Lufeng is the hometown of world dinosaur fossils. Dinosaur Valley centers on hundreds of millions of years old dinosaur fossil groups, displaying some of the oldest dinosaur fossils in the world. The scenic area includes Dinosaur Relics Park, Time and Space Paradise, etc., suitable for family trips and science education.","Dinosaur fossil group, Xu's Lufengosaurus, Time and Space Paradise, Science education",https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/禄丰世界恐龙谷.webp,
Yi People Ancient Town,Yunnan Province,Chuxiong Yi Autonomous Prefecture,Chuxiong City,Southwest,"Yunnan Province, Chuxiong Yi Autonomous Prefecture, Chuxiong City, Yong'an Road No. 543",101.634734,25.463492,4A-level scenic area | Cultural tourism zone,Historical culture | Modern architecture | Folk customs,Flower Viewing,4A,Bus: Bus No. 50 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name,Open All Day,Free,Free,Ctrip APP search scenic area name to purchase tickets | Baidu Maps APP scenic area ticket purchase | Gaode Maps APP scenic area ticket reservation,2-3 hours,Suitable all year round,All ages,"Yi People Ancient Town is located in the Economic Development Zone of Chuxiong City, fully showcasing Yi ethnic culture. Major attractions include Wangjiang Tower, Peach Blossom Creek, Derun Square, Yi People Tribe, and Tusi Mansion, offering a rich experience of Yi customs.","Yi culture, Torch Festival, Yi cuisine, ethnic song and dance",https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/彝人古镇.webp,
Fuxian Lake,Yunnan Province,Yuxi City,"Chengjiang City, Jiangchuan District, Huaining County",Southwest,"Junction of Chengjiang City, Jiangchuan District, and Huaining County, Yuxi City, Yunnan Province",102.942557,23.886883,National-level tourist resort | Highland lake,Natural scenery | Leisure vacation,,Other,Bus: Bus 4 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name,Open All Day,Free (Lu Chong scenic area: 15/person),Paid,Reservation via scenic area official WeChat public account | Online booking via scenic area official website | Online ticket purchase via Tongcheng Travel APP,1-2 days,Suitable all year round,All ages,"Fuxian Lake is China's largest deep-water freshwater lake, the first major lake at the source of the Pearl River, with excellent water quality. The lake surface covers 212 square kilometers, with a maximum depth of 155 meters, and the lakeside scenery is beautiful.","China's deepest freshwater lake, Class I water quality, lakeside vacation, water sports",https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/抚仙湖.webp,
Moon Bay Wetland Park,Yunnan Province,Yuxi City,Chengjiang City,Southwest,"No. 8 Huanhu North Road, Chengjiang City, Yuxi City, Yunnan Province",102.36781,24.058234,Wetland park | 4A-level scenic area,Natural scenery|Religious sites|Gardens and parks,Photography,4A,Bus: Bus No. 6 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name,08:30-20:30,30/person (can be deducted for in-park consumption),Paid,Douyin APP search scenic area name for group purchase | Ctrip APP search scenic area name to purchase tickets | Meituan APP search scenic area name for reservation,2-3 hours,Suitable all year round,All ages,"Moon Bay Wetland Park is located on the north shore of Fuxian Lake, the best spot to view the sunset over Fuxian Lake. The park features beaches, boardwalks, lawns, and other facilities, with complete supporting facilities suitable for cycling tours.","Fuxian Lake sunset, beach leisure, lakeside boardwalk, family entertainment",https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/月亮湾湿地公园.webp,
